userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR
4sq-seoul,siegfrid,2366,243,6.653717721,0.09343405,8,1,6.653717721,0.09343405,4.622343836,0.470474633,4.622343836,0.470474633,4.119787262,0.543459442,0.137931034,0.137931034
4sq-seoul,jaehoon-choi,218,176,5.193418899,0.381436768,4,2,6.218959614,0.195723367,3.968495751,0.564593864,4.492393539,0.489781621,4.119787262,0.543459442,0.025862069,0.137931034
4sq-seoul,wungjae-hyun,1290,259,6.216283617,0.196279804,4,3,5.786830089,0.279520828,4.395576436,0.503962213,4.4200274,0.500396929,4.119787262,0.543459442,0.275862069,0.344827586
4sq-seoul,golee,1532,240,6.320983587,0.174035878,4,4,5.459097717,0.337235286,4.404317634,0.502688855,4.359442747,0.509211529,4.119787262,0.543459442,0.155172414,0.396551724
4sq-seoul,4280,1535,206,6.854536703,0.015748163,4,5,5.452017672,0.338440475,4.536161073,0.483314636,4.383759022,0.505681531,4.119787262,0.543459442,0.181034483,0.413793103
4sq-seoul,sunghwan-kim,548,218,5.63665164,0.306462526,3,6,5.30874427,0.362499082,4.045452218,0.553889091,4.320373732,0.514861452,4.119787262,0.543459442,0.189655172,0.439655172
4sq-seoul,keynas-jeong,666,198,6.021119928,0.23544826,3,7,5.209126062,0.378878675,4.153787129,0.538659215,4.265964424,0.52268576,4.119787262,0.543459442,0.163793103,0.456896552
4sq-seoul,dylan-ko,196,154,5.310848712,0.362150084,2,8,5.14659547,0.389024238,3.963685862,0.565259842,4.225481174,0.528474673,4.119787262,0.543459442,0.068965517,0.456896552
4sq-seoul,jihoon-yeo,315,182,5.486441055,0.332565716,2,9,5.077914613,0.400052712,4.012456789,0.558490242,4.19051157,0.533452974,4.119787262,0.543459442,0.068965517,0.456896552
4sq-seoul,d1co,510,203,5.722214104,0.291224373,2,10,5.015823129,0.409923494,4.10438832,0.545627323,4.150552662,0.539116684,4.119787262,0.543459442,0.086206897,0.465517241
4sq-seoul,minsu-ju,363,189,5.549371575,0.321725115,1,11,4.955355604,0.419448515,4.00402174,0.55966373,4.109710215,0.544878535,4.119787262,0.543459442,0.086206897,0.465517241
4sq-seoul,jjangmi,452,171,5.95278238,0.248594375,1,12,4.925395234,0.42413683,4.087117763,0.548054124,4.090125024,0.5476319,4.119787262,0.543459442,0.086206897,0.465517241
4sq-seoul,tj-cho,1115,226,6.185204713,0.202699968,0,13,4.860374659,0.434242483,4.285213527,0.519923461,4.054586236,0.552612313,4.119787262,0.543459442,0.129310345,0.465517241
aaron-cruz,hubert-sawyers-iii,411,46,8.362177113,0.167285887,5,1,8.362177113,0.167285887,6.38921623,0.415773955,6.38921623,0.415773955,6.495186184,0.403639354,0.043973941,0.043973941
aaron-cruz,henry-balanon,538,92,8.425006485,0.15817537,5,2,8.180445531,0.19298228,6.304907922,0.425357261,6.229122757,0.433919609,6.495186184,0.403639354,0.074918567,0.092833876
aaron-cruz,mike-mcclure,799,51,9.248655984,0.009725301,5,3,8.283554098,0.178515527,6.405837061,0.413877332,6.19499481,0.437759631,6.495186184,0.403639354,0.04723127,0.109120521
aaron-cruz,brandon-chesnutt,831,87,9.042571458,0.057916109,5,4,8.303060625,0.17574624,6.333853426,0.42207399,6.131863656,0.444837579,6.495186184,0.403639354,0.074918567,0.128664495
aaron-cruz,charlie-wollborg,429,45,8.428501424,0.157664786,4,5,8.15416203,0.196626485,6.367774968,0.418217051,6.077869369,0.450865272,6.495186184,0.403639354,0.048859935,0.141693811
aaron-cruz,david-murray,424,43,8.425746075,0.158067356,3,6,8.069235368,0.208289641,6.396052964,0.414994102,6.048418398,0.454143129,6.495186184,0.403639354,0.040716612,0.146579805
aaron-cruz,hadi-kadri,160,20,7.201798019,0.319903188,2,7,7.996501676,0.21815049,6.437823431,0.410220434,6.026951771,0.456527964,6.495186184,0.403639354,0.024429967,0.151465798
aaron-cruz,kelly-lavaute,557,48,8.770423967,0.105274538,1,8,7.871075196,0.234901345,6.402886597,0.414214191,5.991222953,0.460489139,6.495186184,0.403639354,0.043973941,0.166123779
aaron-cruz,jeff-hill,173,14,7.348820482,0.301776689,0,9,7.809902012,0.242962904,6.466370208,0.406949049,5.97842076,0.461906036,6.495186184,0.403639354,0.013029316,0.169381107
aaron-cruz,kristina-dickey,220,11,7.71062008,0.255906614,0,10,7.79159355,0.245362596,6.477819408,0.405634938,5.971329397,0.462690326,6.495186184,0.403639354,0.008143322,0.171009772
aaron-cruz,joe-minock,306,38,8.00372516,0.217176194,0,11,7.646766046,0.264144919,6.41729317,0.412568638,5.936551897,0.466530948,6.495186184,0.403639354,0.021172638,0.179153094
aaron-cruz,hajj-flemings,374,50,8.204744962,0.189597895,0,12,7.571467182,0.273777469,6.392807383,0.415364371,5.900074561,0.470549181,6.495186184,0.403639354,0.03257329,0.187296417
aaron-cruz,kathleen-gouthro,452,55,8.433329008,0.15695883,0,13,7.482912876,0.284997238,6.397251624,0.414857331,5.871309586,0.473710604,6.495186184,0.403639354,0.042345277,0.19218241
