userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,Pi_alters_ratio,Pi_ego_alters_ratio,a_Pi
aaron-rutledge,marci-ikeler,1079,331,6.183070219,0.341496862,196,1,6.183070219,0.341496862,5.438976335,0.44275902,5.438976335,0.44275902,5.696165647000001,0.40869882700000004,0.7086614170000001,0.7086614170000001,social network,0.8355709374228274,1.0833381227198873,0.5586537391620932
adam-cohen,jim-cook,358,15,8.383814252999999,0.048230804,2,1,8.383814252999999,0.048230804,5.037719473,0.525627325,5.037719473,0.525627325,5.057677005,0.523321975,0.029972752000000002,0.029972752000000002,social network,0.09216277225889473,1.0044052229987093,0.4686103523565049
adam-fullerton,tara-c,374,136,7.623639776,0.262580727,31,1,7.623639776,0.262580727,6.459088961,0.40451301799999995,6.459088961,0.40451301799999995,6.737429665,0.371980081,0.11784511800000001,0.11784511800000001,social network,0.7058999672619567,1.0874588147637936,0.3963532120420231
adam-jackson,tia-marie,489,208,7.955729922000001,0.196129403,5,1,7.955729922000001,0.196129403,4.316948533,0.6266046829999999,4.316948533,0.6266046829999999,4.40991272,0.617046279,0.052325580999999996,0.052325580999999996,social network,0.3178520147919084,1.0154905787868789,0.48164227404955173
adam-ostrow,chrissie-brodigan,152,15,7.102775427,0.22161656,1,1,7.102775427,0.22161656,4.747595605,0.539322383,4.747595605,0.539322383,4.785899322,0.534739914,0.042253520999999995,0.042253520999999995,social network,0.4144380365068466,1.008569528625088,0.29627260094715746
alex-white,matt-galligan,1104,313,7.950292427000001,0.238209742,10,1,7.950292427000001,0.238209742,6.591852491,0.401934909,6.591852491,0.401934909,6.906576471,0.36581660299999996,0.146666667,0.146666667,social network,0.6511725822351481,1.098733369955874,0.4349859817879869
alli,meghan-keane,970,314,7.647783962999999,0.236486688,79,1,7.647783962999999,0.236486688,5.991229331,0.443335472,5.991229331,0.443335472,6.2948843860000006,0.40782075100000004,0.313609467,0.313609467,social network,0.5798789968880225,1.0870841439846202,0.37049484270032507
amber-rae-lambke,jason-kende,780,119,8.429899158,0.122361946,11,1,8.429899158,0.122361946,6.611630171,0.370666528,6.611630171,0.370666528,6.8119542079999995,0.34609878899999996,0.099804305,0.099804305,social network,0.3535462991752913,1.0709847586320218,0.46524604123517327
ana-h,jason-kende,782,549,5.740920731,0.43769593100000004,218,1,5.740920731,0.43769593100000004,5.2005798819999995,0.502958206,5.2005798819999995,0.502958206,5.678551499,0.445384166,0.541310541,0.541310541,social network,0.9827379696295715,1.1292682685984843,0.46524604123517327
andrea-rosen,brian-stelter,1141,149,8.732511695,0.069148091,29,1,8.732511695,0.069148091,6.561934901,0.376477189,6.561934901,0.376477189,6.724121185,0.35670425299999997,0.20784313699999998,0.20784313699999998,social network,0.19385272370161508,1.0554322967379928,0.35469759399153045
andrei-zmievski,suki-b,1880,335,8.736310647,0.10562219699999999,27,1,8.736310647,0.10562219699999999,6.2704404,0.426941044,6.2704404,0.426941044,6.4060798089999995,0.41144563100000003,0.26210350600000004,0.26210350600000004,social network,0.2567099734253831,1.037660900572304,0.4246736022408418
andrew-grill,diana-stepner,500,461,8.264167147,0.278604963,13,1,8.264167147,0.278604963,5.663635486,0.545432895,5.663635486,0.545432895,5.726186069,0.539486032,0.012116317,0.012116317,social network,0.5164266477245884,1.0110232010603752,0.655723939882614
andrew-mager,matt-hunter,755,197,8.926108538,0.138800735,55,1,8.926108538,0.138800735,6.555728014,0.42497072399999997,6.555728014,0.42497072399999997,6.689023236000001,0.41049921899999997,0.149939541,0.149939541,social network,0.3381266725382004,1.0352534288256465,0.3742459150479536
andrew-pile,blake-whitman,714,163,7.327685302000001,0.204162177,53,1,7.327685302000001,0.204162177,5.984589367000001,0.394846579,5.984589367000001,0.394846579,6.192865237,0.36740739299999997,0.286624204,0.286624204,social network,0.5556833664476644,1.0746832712753824,0.4292635223965228
andy-amendola,nicole-hering,1012,337,8.936366433,0.038598632,24,1,8.936366433,0.038598632,4.088862661,0.651271984,4.088862661,0.651271984,4.141923919,0.645930649,0.07344632799999999,0.07344632799999999,social network,0.05975661947572332,1.0082692081700555,0.5326807344874758
andy-hadfield,tim-britz,670,171,7.7330163,0.188953659,33,1,7.7330163,0.188953659,5.670845635,0.46090510799999995,5.670845635,0.46090510799999995,5.930715397999999,0.42980425,0.20537897300000002,0.20537897300000002,social network,0.4396272465895812,1.0723605176077249,0.4972084478596824
angela-baxley,morgan-holzer,909,122,9.121576289,0.11311991099999999,25,1,9.121576289,0.11311991099999999,6.838345545,0.39551036,6.838345545,0.39551036,6.9672175670000005,0.38127929200000005,0.061978545999999995,0.061978545999999995,social network,0.2966851685194589,1.0373245237771789,0.46961625575178284
