userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,a_Pi
4sq-seoul,siegfrid,2366,243,6.6537177210000005,0.09343405,8,1,6.6537177210000005,0.09343405,4.622343836000001,0.470474633,4.622343836000001,0.470474633,4.119787262,0.5434594420000001,0.137931034,0.137931034,social network,0.5569924064283384
aaron-cruz,hubert-sawyers-iii,411,46,8.362177113,0.167285887,5,1,8.362177113,0.167285887,6.38921623,0.415773955,6.38921623,0.415773955,6.495186184,0.403639354,0.043973940999999996,0.043973940999999996,social network,0.4154095512848815
aaron-landry,ed-kohler,1953,614,8.253133692999999,0.208898912,111,1,8.253133692999999,0.208898912,6.29961788,0.44095782,6.29961788,0.44095782,6.478684347000001,0.421275305,0.298342541,0.298342541,social network,0.3905418322715957
aaron-rutledge,marci-ikeler,1079,331,6.183070219,0.341496862,196,1,6.183070219,0.341496862,5.438976335,0.44275902,5.438976335,0.44275902,5.696165647000001,0.40869882700000004,0.7086614170000001,0.7086614170000001,social network,0.5586537391620932
abbott,greg-dean,1244,403,7.116428905,0.23521787800000002,43,1,7.116428905,0.23521787800000002,5.157484417,0.4976513,5.157484417,0.4976513,5.207208819,0.491620568,0.24758842399999997,0.24758842399999997,social network,0.490601704236736
adam-cohen,jim-cook,358,15,8.383814252999999,0.048230804,2,1,8.383814252999999,0.048230804,5.037719473,0.525627325,5.037719473,0.525627325,5.057677005,0.523321975,0.029972752000000002,0.029972752000000002,social network,0.4686103523565049
adam-fullerton,tara-c,374,136,7.623639776,0.262580727,31,1,7.623639776,0.262580727,6.459088961,0.40451301799999995,6.459088961,0.40451301799999995,6.737429665,0.371980081,0.11784511800000001,0.11784511800000001,social network,0.3963532120420231
adam-jackson,tia-marie,489,208,7.955729922000001,0.196129403,5,1,7.955729922000001,0.196129403,4.316948533,0.6266046829999999,4.316948533,0.6266046829999999,4.40991272,0.617046279,0.052325580999999996,0.052325580999999996,social network,0.48164227404955173
adam-ostrow,chrissie-brodigan,152,15,7.102775427,0.22161656,1,1,7.102775427,0.22161656,4.747595605,0.539322383,4.747595605,0.539322383,4.785899322,0.534739914,0.042253520999999995,0.042253520999999995,social network,0.29627260094715746
akshay-dodeja,namita-b,911,139,8.088256597,0.10893286699999999,94,1,8.088256597,0.10893286699999999,6.156298913,0.39069559,6.156298913,0.39069559,6.283805011,0.374409017,0.328804348,0.328804348,social network,0.4381047331638884
alastair-green,christopher-callahan,1338,206,8.703875251,0.065316391,25,1,8.703875251,0.065316391,5.6050402560000006,0.48479595700000006,5.6050402560000006,0.48479595700000006,5.646034321,0.480157788,0.06097561,0.06097561,social network,0.5374681153915165
alex-rainert,karen-bonna-rainert,545,359,7.027661589,0.292476881,223,1,7.027661589,0.292476881,5.184694927,0.518906321,5.184694927,0.518906321,5.398556502999999,0.49443407100000003,0.419664269,0.419664269,social network,0.4533430663402346
alex-white,matt-galligan,1104,313,7.950292427000001,0.238209742,10,1,7.950292427000001,0.238209742,6.591852491,0.401934909,6.591852491,0.401934909,6.906576471,0.36581660299999996,0.146666667,0.146666667,social network,0.4349859817879869
alexander-ljung,david-noel,483,201,6.538130819,0.298453217,24,1,6.538130819,0.298453217,5.289285681,0.467862591,5.289285681,0.467862591,5.482994002000001,0.443054633,0.189591078,0.189591078,social network,0.45243405414997384
alexandre-inagaki,fabio-yabu,403,47,8.011452905,0.016432029,1,1,8.011452905,0.016432029,5.462266957000001,0.44258351,5.462266957000001,0.44258351,5.535131159,0.433073338,0.061302682000000004,0.061302682000000004,social network,0.48132548895066196
alexdc,matthew-chamberlin,596,85,8.106601481,0.145680402,3,1,8.106601481,0.145680402,6.874764505,0.320699839,6.874764505,0.320699839,7.108888525,0.289899082,0.124153499,0.124153499,social network,0.4168910589536344
alexis-dorenter,carla-blumenthal,657,170,7.770413332,0.17153740899999997,49,1,7.770413332,0.17153740899999997,5.74249416,0.44637012600000003,5.74249416,0.44637012600000003,5.900647395,0.427116362,0.213541667,0.213541667,social network,0.4334854539921305
alli,meghan-keane,970,314,7.647783962999999,0.236486688,79,1,7.647783962999999,0.236486688,5.991229331,0.443335472,5.991229331,0.443335472,6.2948843860000006,0.40782075100000004,0.313609467,0.313609467,social network,0.37049484270032507
alvin-vitangcol,bryan-simkus,2390,602,8.770481823999999,0.120781961,6,1,8.770481823999999,0.120781961,5.56667398,0.512614923,5.56667398,0.512614923,5.597159308999999,0.50938355,0.11463046800000001,0.11463046800000001,social network,0.563484145927953
amber-rae-lambke,jason-kende,780,119,8.429899158,0.122361946,11,1,8.429899158,0.122361946,6.611630171,0.370666528,6.611630171,0.370666528,6.8119542079999995,0.34609878899999996,0.099804305,0.099804305,social network,0.46524604123517327
ana-h,jason-kende,782,549,5.740920731,0.43769593100000004,218,1,5.740920731,0.43769593100000004,5.2005798819999995,0.502958206,5.2005798819999995,0.502958206,5.678551499,0.445384166,0.541310541,0.541310541,social network,0.46524604123517327
andrea-allen,stephen-niebauer,184,106,6.194399344,0.36073756799999995,42,1,6.194399344,0.36073756799999995,5.864980354,0.404522049,5.864980354,0.404522049,6.270203422000001,0.35043318700000003,0.157718121,0.157718121,social network,0.3157099598911896
andrea-rosen,brian-stelter,1141,149,8.732511695,0.069148091,29,1,8.732511695,0.069148091,6.561934901,0.376477189,6.561934901,0.376477189,6.724121185,0.35670425299999997,0.20784313699999998,0.20784313699999998,social network,0.35469759399153045
andrei-zmievski,suki-b,1880,335,8.736310647,0.10562219699999999,27,1,8.736310647,0.10562219699999999,6.2704404,0.426941044,6.2704404,0.426941044,6.4060798089999995,0.41144563100000003,0.26210350600000004,0.26210350600000004,social network,0.4246736022408418
andrew-girdwood,wendy-rees,1132,1654,5.656858925,0.434873082,338,1,5.656858925,0.434873082,3.8762959660000003,0.644474024,3.8762959660000003,0.644474024,3.975279025,0.633580147,0.37012987,0.37012987,social network,0.7309203477154115
andrew-grill,diana-stepner,500,461,8.264167147,0.278604963,13,1,8.264167147,0.278604963,5.663635486,0.545432895,5.663635486,0.545432895,5.726186069,0.539486032,0.012116317,0.012116317,social network,0.655723939882614
andrew-mager,matt-hunter,755,197,8.926108538,0.138800735,55,1,8.926108538,0.138800735,6.555728014,0.42497072399999997,6.555728014,0.42497072399999997,6.689023236000001,0.41049921899999997,0.149939541,0.149939541,social network,0.3742459150479536
andrew-pile,blake-whitman,714,163,7.327685302000001,0.204162177,53,1,7.327685302000001,0.204162177,5.984589367000001,0.394846579,5.984589367000001,0.394846579,6.192865237,0.36740739299999997,0.286624204,0.286624204,social network,0.4292635223965228
andy-amendola,nicole-hering,1012,337,8.936366433,0.038598632,24,1,8.936366433,0.038598632,4.088862661,0.651271984,4.088862661,0.651271984,4.141923919,0.645930649,0.07344632799999999,0.07344632799999999,social network,0.5326807344874758
andy-hadfield,tim-britz,670,171,7.7330163,0.188953659,33,1,7.7330163,0.188953659,5.670845635,0.46090510799999995,5.670845635,0.46090510799999995,5.930715397999999,0.42980425,0.20537897300000002,0.20537897300000002,social network,0.4972084478596824
angela-baxley,morgan-holzer,909,122,9.121576289,0.11311991099999999,25,1,9.121576289,0.11311991099999999,6.838345545,0.39551036,6.838345545,0.39551036,6.9672175670000005,0.38127929200000005,0.061978545999999995,0.061978545999999995,social network,0.46961625575178284
anita-brooklynbybike-singh,yawen-c,1239,309,8.532390337,0.107493459,20,1,8.532390337,0.107493459,5.123345292,0.54172101,5.123345292,0.54172101,5.221207435,0.531105677,0.205426357,0.205426357,social network,0.4689699741026765
anjelika-paranjpe,blake-whitman,714,186,7.889844169,0.189869785,41,1,7.889844169,0.189869785,6.111735971,0.42193920100000004,6.111735971,0.42193920100000004,6.3578478679999995,0.392398505,0.191489362,0.191489362,social network,0.4292635223965228
anna-frenkel,erin-gleason,1246,259,8.341415955,0.137301242,63,1,8.341415955,0.137301242,5.892808131000001,0.45572537700000004,5.892808131000001,0.45572537700000004,6.020472162999999,0.44105317,0.18128655,0.18128655,social network,0.4033907327849764
anthony-cafaro,alex-m6,189,129,6.357885297,0.36549391700000006,41,1,6.357885297,0.36549391700000006,5.994782796,0.411614685,5.994782796,0.411614685,6.333240102,0.36867740000000004,0.172972973,0.172972973,social network,0.3636850458762705
anthony-dines,rick-webb,2722,356,7.409393792,0.134204202,10,1,7.409393792,0.134204202,5.178189359,0.47086308,5.178189359,0.47086308,4.836179261,0.514385379,0.225,0.225,social network,0.4764010176789602
anthony-quintano,lauren-bertolini,305,37,8.086715095,0.192520463,1,1,8.086715095,0.192520463,4.8281282569999995,0.579160364,4.8281282569999995,0.579160364,4.849932648,0.57688754,0.015929204,0.015929204,social network,0.46687879544616134
anton-volnuhin,alexey-dolotov,544,167,4.7153320910000005,0.370196994,9,1,4.7153320910000005,0.370196994,3.024523322,0.650231798,3.024523322,0.650231798,2.7690627460000004,0.6867794890000001,0.15625,0.15625,social network,0.7947463946175144
ari-greenberg,sarah-cooley,1343,161,9.585371615,0.057167700999999994,9,1,9.585371615,0.057167700999999994,6.69224078,0.419078419,6.69224078,0.419078419,6.81223211,0.40620648,0.082236842,0.082236842,social network,0.44647878717161205
augie-ray,david-ray,386,23,8.431785076,0.161726117,3,1,8.431785076,0.161726117,6.462102872000001,0.409951909,6.462102872000001,0.409951909,6.527370535,0.40249210799999996,0.033333333,0.033333333,social network,0.46096401408541043
